,Date,Campaign Code,Campaign Name,PO Number,Channel,Country Code,Tactic,Media Cost,Impressions,Conversions,Clicks,Month,Campaign Mode
0,2022-01-01,FW20,Run,PO203366,FB,DE,Consideration,441.17,53964,560,2364,2022-01,FW20
1,2022-01-02,FW20,Run,PO559150,FB,DE,Consideration,445.27,60733,521,2325,2022-01,FW20
2,2022-01-03,FW20,Run,PO424678,FB,DE,Awareness,324.52,68995,76,9128,2022-01,FW20
3,2022-01-04,FW20,Run,PO756200,FB,DE,Awareness,412.02,96521,129,12071,2022-01,FW20
4,2022-01-05,FW20,Run,PO456943,FB,DE,Conversion,911.34,171899,534,4040,2022-01,FW20
5,2022-01-06,FW20,Run,PO931671,FB,DE,Conversion,955.49,113927,568,7109,2022-01,FW20
6,2022-01-07,FW20,Run,PO487541,FB,UK,Consideration,68.11,14037,434,930,2022-01,FW20
7,2022-01-08,FW20,Run,PO595013,FB,UK,Consideration,75.56,15743,569,982,2022-01,FW20
8,2022-01-09,FW20,Run,PO984005,FB,UK,Awareness,70.42,13985,23,1793,2022-01,FW20
9,2022-01-10,FW20,Run,PO408657,FB,UK,Awareness,63.83,13035,25,1404,2022-01,FW20
10,2022-01-11,FW20,Run,PO120282,FB,UK,Conversion,246.68,75823,403,1326,2022-01,FW20
11,2022-01-12,FW20,Run,PO124077,FB,UK,Conversion,255.5,75508,520,1797,2022-01,FW20
12,2022-01-13,FW20,Run,PO173647,FB,DE,Consideration,433.11,76951,1025,5989,2022-01,FW20
13,2022-01-14,FW20,Run,PO907052,FB,DE,Consideration,432.95,79467,1052,6422,2022-01,FW20
14,2022-01-15,FW20,Run,PO351142,FB,DE,Awareness,423.83,102380,114,68310,2022-01,FW20
15,2022-01-16,FW20,Run,PO576677,FB,DE,Awareness,423.73,101918,127,64396,2022-01,FW20
16,2022-01-17,FW20,Run,PO141129,FB,DE,Conversion,961.38,110003,840,9090,2022-01,FW20
17,2022-01-18,FW20,Run,PO357244,FB,DE,Conversion,964.45,116113,841,9387,2022-01,FW20
18,2022-01-19,FW20,Run,PO752478,FB,UK,Consideration,268.38,77157,2583,3621,2022-01,FW20
19,2022-01-20,FW20,Run,PO738355,FB,UK,Consideration,268.59,78573,2635,3980,2022-01,FW20
20,2022-01-21,FW20,Run,PO735480,FB,UK,Awareness,263.73,74981,72,37088,2022-01,FW20
21,2022-01-22,FW20,Run,PO661688,FB,UK,Awareness,263.83,75675,84,36956,2022-01,FW20
22,2022-01-23,FW20,Run,PO983862,FB,UK,Conversion,589.63,101415,2367,10334,2022-01,FW20
23,2022-01-24,FW20,Run,PO450297,FB,UK,Conversion,594.83,105523,2351,10029,2022-01,FW20
24,2022-01-25,FW20,Run,PO820689,FB,DE,Consideration,376.09,79430,1996,4356,2022-01,FW20
25,2022-01-26,FW20,Run,PO624718,FB,DE,Consideration,376.14,78287,2003,4180,2022-01,FW20
26,2022-01-27,FW20,Run,PO508990,FB,DE,Awareness,367.31,102841,102,69640,2022-01,FW20
27,2022-01-28,FW20,Run,PO735828,FB,DE,Awareness,368.35,103280,123,70140,2022-01,FW20
28,2022-01-29,FW20,Run,PO725993,FB,DE,Conversion,833.51,111132,1179,13112,2022-01,FW20
29,2022-01-30,FW20,Run,PO127180,FB,DE,Conversion,834.2,112357,1194,13811,2022-01,FW20
